,WD,basin,sampling_point,sampling_date,BOD,chla,COD,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
947,3회차 상층부,한강,Paldang4,20200921,1.6,21.4,3.8,10.8,115,7.9,19.3,2,0.8,Paldangdam,1_11_20200919T021609_20200919T022509_T52SCG.tif,20200919,처_음,260.8888889,373.8888889,533.7777778,272.5555556,282.4444444,129.8888889,136.6666667,114.6666667,91.11111111,67.33333333,55.22222222,38.22222222,1
957,3회차,한강,Paldang5,20201019,3.9,57.7,6.3,11.2,265,21.5,15.6,3.4,0.3,Paldangdam,1_11_20201019T021719_20201019T022536_T52SCG.tif,20201019,처_음,233,356.3333333,468.8888889,323.3333333,341.2222222,169.8888889,155.1111111,161.3333333,129.8888889,70,82.11111111,53,1
958,3회차 상층부,한강,Paldang1,20201019,1.7,19.3,4.4,12.3,290,5,16.5,2.1,1.7,Paldangdam,1_11_20201019T021719_20201019T022536_T52SCG.tif,20201019,처_음,153.7777778,245.4444444,348.6666667,180.1111111,143.2222222,78.88888889,83.66666667,82.33333333,95.11111111,30.77777778,92.88888889,62.33333333,1
959,3회차 상층부,한강,Paldang4,20201019,1.1,16.8,4,10.3,97,5.8,15.4,1.9,1.8,Paldangdam,1_11_20201019T021719_20201019T022536_T52SCG.tif,20201019,처_음,256.8888889,435.8888889,615.4444444,332.3333333,292.6666667,111.4444444,118.5555556,104.4444444,72.55555556,35.44444444,79.33333333,64.44444444,1
960,4회차,한강,Paldang5,20201026,4.3,68.8,6.3,12.2,334,13.2,13.5,3.2,0.8,Paldangdam,1_11_20201024T021751_20201024T022447_T52SCG.tif,20201024,처_음,104,193.4444444,389.6666667,278.4444444,310,107.3333333,117.5555556,103.2222222,76.22222222,23,39.33333333,29.44444444,0
961,4회차 상층부,한강,Paldang1,20201026,1.9,16.4,4.3,11.8,294,3.7,14.3,2.2,1.7,Paldangdam,1_11_20201024T021751_20201024T022447_T52SCG.tif,20201024,처_음,76.44444444,121.6666667,272,110,77.11111111,11.77777778,21.22222222,33,39.11111111,7.111111111,44.55555556,39.88888889,0
962,4회차 상층부,한강,Paldang4,20201026,3.2,55.9,6.1,10.4,98,9,14.1,3.4,1.1,Paldangdam,1_11_20201024T021751_20201024T022447_T52SCG.tif,20201024,처_음,110.1111111,228.5555556,430.3333333,196.5555556,148.1111111,26.55555556,38.66666667,25.22222222,34.88888889,0.888888889,33.66666667,28.77777778,0
966,2회차,한강,Paldang5,20201109,3.4,28.1,5.5,11.6,288,11.6,11,3,1,Paldangdam,1_11_20201108T021859_20201108T021902_T52SCG.tif,20201108,처_음,10,179.8888889,335.8888889,204.1111111,196.5555556,71.22222222,81.88888889,83.11111111,51.88888889,51,94,71.88888889,0
967,2회차 상층부,한강,Paldang1,20201109,0.7,4.2,3.4,11.8,293,1.6,10.7,2,2.9,Paldangdam,1_11_20201108T021859_20201108T021902_T52SCG.tif,20201108,처_음,0.666666667,99.77777778,169.4444444,74.22222222,64.66666667,15.55555556,34.33333333,42.88888889,53.77777778,40.22222222,121,96.11111111,0
968,2회차 상층부,한강,Paldang4,20201109,1,10.7,3.7,10.8,107,4.1,11.9,2.4,1.9,Paldangdam,1_11_20201108T021859_20201108T021902_T52SCG.tif,20201108,처_음,58.22222222,291.1111111,474.7777778,221.8888889,161.7777778,65,70.22222222,56.66666667,51,36.11111111,87.55555556,80.22222222,0
