,Unnamed: 0,year,month,WD,sampling_date,basin,sampling_point,BOD,chla,COD,chro,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,lake_y,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
101,101,2016,11,5회차 상층부,20161128,금강,D1,0.7,16.8,4.6,,12.1,145,3.4,13.7,2.9,3.4,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,2016,12,1회차 상층부,20161205,금강,D1,1,16.7,4.8,,10.1,135,2.4,12.7,3.2,3.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,2016,12,1회차 상층부,20161208,금강,D5,0.8,3.5,3.4,,9.5,186,0.4,9,2.3,4.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,2016,12,1회차 상층부,20161208,금강,D6,1.2,2.7,3.5,,9.9,192,0.4,8,2.2,3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,2016,12,1회차 상층부,20161208,금강,D2,0.7,7.2,3.9,,8.9,179,3.6,9,2.3,3.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
106,106,2016,12,1회차 상층부,20161208,금강,D3,1.1,5.6,4,,10.1,176,3.6,9,2.2,3.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
107,107,2016,12,1회차 상층부,20161208,금강,D4,1.5,4.7,3.9,,11.3,205,4,6,2.4,2.7,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
108,108,2016,12,2회차 상층부,20161212,금강,D1,0.9,5.9,4.5,,9.9,151,1.7,11.5,3.1,4.4,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
109,109,2016,12,3회차 상층부,20161219,금강,D1,0.8,3.1,4.1,,10.1,137,1.6,10.6,3.4,3.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,2016,12,4회차 상층부,20161226,금강,D1,0.6,2.5,4.4,,10.1,151,0.7,9.6,3.1,3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
111,111,2017,1,1회차 상층부,20170102,금강,D1,0.7,2.3,4.2,,10.3,154,1.1,9,3.7,3.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
112,112,2017,1,1회차 상층부,20170104,금강,D5,1.4,1.7,3.5,,9.8,160,1.2,9,2.4,4.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
